period,stateid,stateDescription,sectorid,sectorName,price,price-units
2005-08,MA,Massachusetts,ALL,all sectors,12.46,cents per kilowatthour
2005-09,MA,Massachusetts,COM,commercial,13.46,cents per kilowatthour
2005-09,MA,Massachusetts,IND,industrial,9.48,cents per kilowatthour
2005-09,MA,Massachusetts,OTH,other,,cents per kilowatthour
2005-09,MA,Massachusetts,RES,residential,13.66,cents per kilowatthour
2005-09,MA,Massachusetts,TRA,transportation,4.97,cents per kilowatthour
2005-09,MA,Massachusetts,ALL,all sectors,12.78,cents per kilowatthour
2005-10,MA,Massachusetts,COM,commercial,12.35,cents per kilowatthour
2005-10,MA,Massachusetts,IND,industrial,9.49,cents per kilowatthour
2005-10,MA,Massachusetts,OTH,other,,cents per kilowatthour
2005-10,MA,Massachusetts,RES,residential,13.28,cents per kilowatthour
2005-10,MA,Massachusetts,TRA,transportation,4.69,cents per kilowatthour
2005-10,MA,Massachusetts,ALL,all sectors,12.07,cents per kilowatthour
2005-11,MA,Massachusetts,IND,industrial,9.17,cents per kilowatthour
2005-11,MA,Massachusetts,OTH,other,,cents per kilowatthour
2005-11,MA,Massachusetts,RES,residential,14.45,cents per kilowatthour
2005-11,MA,Massachusetts,TRA,transportation,4.6,cents per kilowatthour
2005-11,MA,Massachusetts,ALL,all sectors,12.78,cents per kilowatthour
2005-11,MA,Massachusetts,COM,commercial,13.05,cents per kilowatthour
2005-12,MA,Massachusetts,COM,commercial,13.05,cents per kilowatthour
2005-12,MA,Massachusetts,IND,industrial,10.13,cents per kilowatthour
2005-12,MA,Massachusetts,OTH,other,,cents per kilowatthour
2005-12,MA,Massachusetts,RES,residential,14.9,cents per kilowatthour
2005-12,MA,Massachusetts,TRA,transportation,4.48,cents per kilowatthour
2005-12,MA,Massachusetts,ALL,all sectors,13.23,cents per kilowatthour
2006-01,MA,Massachusetts,COM,commercial,15.28,cents per kilowatthour
2006-01,MA,Massachusetts,IND,industrial,12.86,cents per kilowatthour
2006-01,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-01,MA,Massachusetts,RES,residential,17.05,cents per kilowatthour
2006-01,MA,Massachusetts,TRA,transportation,10.65,cents per kilowatthour
2006-01,MA,Massachusetts,ALL,all sectors,15.6,cents per kilowatthour
2006-02,MA,Massachusetts,COM,commercial,17.15,cents per kilowatthour
2006-02,MA,Massachusetts,IND,industrial,13.5,cents per kilowatthour
2006-02,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-02,MA,Massachusetts,RES,residential,17.64,cents per kilowatthour
2006-02,MA,Massachusetts,TRA,transportation,11.02,cents per kilowatthour
2006-02,MA,Massachusetts,ALL,all sectors,16.6,cents per kilowatthour
2006-03,MA,Massachusetts,COM,commercial,15.69,cents per kilowatthour
2006-03,MA,Massachusetts,IND,industrial,12.99,cents per kilowatthour
2006-03,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-03,MA,Massachusetts,RES,residential,17.17,cents per kilowatthour
2006-03,MA,Massachusetts,TRA,transportation,9.98,cents per kilowatthour
2006-03,MA,Massachusetts,ALL,all sectors,15.79,cents per kilowatthour
2006-04,MA,Massachusetts,COM,commercial,15.07,cents per kilowatthour
2006-04,MA,Massachusetts,IND,industrial,12.58,cents per kilowatthour
2006-04,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-04,MA,Massachusetts,RES,residential,16.48,cents per kilowatthour
2006-04,MA,Massachusetts,TRA,transportation,9.3,cents per kilowatthour
2006-04,MA,Massachusetts,ALL,all sectors,14.98,cents per kilowatthour
2006-05,MA,Massachusetts,COM,commercial,14.5,cents per kilowatthour
2006-05,MA,Massachusetts,IND,industrial,12.51,cents per kilowatthour
2006-05,MA,Massachusetts,OTH,other,,cents per kilowatthour
2006-05,MA,Massachusetts,RES,residential,16.47,cents per kilowatthour
2006-05,MA,Massachusetts,TRA,transportation,9.91,cents per kilowatthour
